4.50000	-0.24459480	-0.20798533	-0.20738687	-0.20370815	-0.17540161	-0.16445338	-0.16141188	-0.15671080
4.60000	-0.25375550	-0.21655883	-0.21602544	-0.21219503	-0.18380481	-0.17316527	-0.17132439	-0.16630047
4.70000	-0.26157722	-0.22392873	-0.22333168	-0.21944226	-0.19090862	-0.18058047	-0.17996917	-0.17463197
4.80000	-0.26828313	-0.23024730	-0.22959574	-0.22566064	-0.19694067	-0.18760218	-0.18687916	-0.18191198
4.90000	-0.27405515	-0.23571743	-0.23497255	-0.23102857	-0.20208799	-0.19430840	-0.19233326	-0.18830848
5.10000	-0.28336326	-0.24464939	-0.24363867	-0.23975666	-0.21031807	-0.20557903	-0.20118568	-0.19897375
5.20000	-0.28711903	-0.24833161	-0.24714199	-0.24332801	-0.21363705	-0.21034543	-0.20481472	-0.20344350
5.30000	-0.29038980	-0.25160027	-0.25020512	-0.24648162	-0.21654986	-0.21462737	-0.20804994	-0.20743196
5.40000	-0.29324210	-0.25451569	-0.25289659	-0.24928035	-0.21913579	-0.21848634	-0.21108446	-0.21088328
5.50000	-0.29573108	-0.25713027	-0.25527199	-0.25177354	-0.22200870	-0.22142034	-0.21430036	-0.21384928
5.60000	-0.29790216	-0.25947439	-0.25738471	-0.25400272	-0.22517389	-0.22351328	-0.21718334	-0.21684102
5.70000	-0.29979353	-0.26158855	-0.25926381	-0.25600256	-0.22805474	-0.22542399	-0.21976614	-0.21956533
5.80000	-0.30143715	-0.26350002	-0.26094058	-0.25780042	-0.23067477	-0.22719427	-0.22215295	-0.22200163
5.90000	-0.30285993	-0.26522646	-0.26244433	-0.25941778	-0.23305892	-0.22885148	-0.22436406	-0.22419337
6.00000	-0.30408481	-0.26679661	-0.26378300	-0.26087672	-0.23522796	-0.23041901	-0.22641642	-0.22625994
6.10000	-0.30513140	-0.26822128	-0.26497741	-0.26219267	-0.23720083	-0.23190654	-0.22828910	-0.22814074
6.20000	-0.30601662	-0.26951203	-0.26604832	-0.26337564	-0.23899333	-0.23331956	-0.22999723	-0.22985360
6.30000	-0.30675520	-0.27068218	-0.26699948	-0.26444130	-0.24062007	-0.23465749	-0.23155047	-0.23141078
6.40000	-0.30736006	-0.27173991	-0.26784897	-0.26539556	-0.24209368	-0.23591693	-0.23296189	-0.23282472
6.50000	-0.30784269	-0.27269500	-0.26860009	-0.26625024	-0.24342611	-0.23709501	-0.23424117	-0.23410550
6.60000	-0.30821327	-0.27355498	-0.26926069	-0.26701344	-0.24462799	-0.23819025	-0.23539737	-0.23526268
